en, la
AMU Laos Dashboard: Explore Antimicrobial Usage in Laos,AMU Laos Dashboard: ເຂົ້າສໍາຫລວດເບິ່ງການນໍາໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີບໃນ ສ.ປ.ປ ລາວ
Welcome,ຫນ້າຫລັກ
AMU in Laos,ການນໍາໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີບ (AMU) ໃນ ສ.ປ.ປ ລາວ
About the AMU Laos Project,ວຽກງານທີ່ກ່ຽວຂ້ອງກັບການນໍາໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີບ ໃນ ສ.ປ.ປ ລາວ
What do we know about antimicrobial use (AMU) in hospital in Laos?,ທ່ານຮູ້ຫຍັງແດ່ກ່ຽວກັບການນຳໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີຢູ່ໃນໂຮງໝໍ ໃນ ສ.ປ.ປ.ລາວ ? 
Antimicrobial resistance is a great public health concern in Laos now. Misuse of antimicrobials is likely to be a key driver of the worsening AMR situation in Laos. The use of antimicrobials in hospital has not been well documented in Laos. Conducting point prevalence surveys (PPS) on hospital AMU in Laos is one method for monitoring the rational use of antimicrobials in Laos.,"ເຊື້ອພະຍາດທີ່ຕ້ານຕໍ່ຢາຕ້ານເຊື້ອຈຸລະຊີບເປັນບັນຫາໃຫຍ່ທາງດ້ານສາທາລະນະສຸກທີ່ໜ້າເປັນຫ່ວງຢູ່ໃນ ສ.ປ.ປ ລາວ ໃນປັດຈຸບັນ. ການນໍາໃຊ້ຢາຕ້ານເຊື້ອຢ່າງບໍ່ຖືກຕ້ອງເປັນປັດໃຈທີ່ຊຸກຍູ້ເຮັດໃຫ້ເຊື້ຶອຈຸລະຊີບຕ້ານຕໍ່ຢາເພີ່ມຂື້ນ, ຍັງບໍ່ມີິການບັນທຶກການນໍາໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີບໃນໂຮງໝໍໃນ ສ.ປ.ປ ລາວ ຢ່າງລະອຽດ, ການເຮັດການສຳຫລວດການນຳໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີບ ນະຈຸດເວລາໃດໜຶ່ງໃນໂຮງໝໍໃນ ສ.ປ.ປ ລາວ ແມ່ນວິທີການໜຶ່ງທີ່ໃຊ້ເຂົ້າໃນການຕິດຕາມການໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີບຢ່າງເໝາະສົມໃນໂຮງໝໍ."
Why is it needed?,ຍ້ອນຫຍັງມັນຈິ່ງມີຄວາມຈຳເປັນ?
"This hospital AMU Dashboard allows clinicians, pharmacists and nurses to have easy access to their hospital data, as well as automatically produce a report for the Ministry of Health.","AMU Dashboard ນີ້ຈະຊ່ວຍໃຫ້ພະນັກງານແພດ, ພະນັກງານການຢາ ແລະ ພະຍາບານ ໃນໂຮງໝໍຂອງທ່ານສາມາດເຂົ້າເຖິງຂໍ້ມູນການນໍາໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີບໄດ້ຢ່າງງ່າຍດາຍ, ພ້ອມດຽວກັນນັ້ນຍັງສາມາດເຂົ້າເຖິງບົດລາຍງານຂອງການສໍາຫລວດການນໍາໃຊ້ຢາຕ້ານເຊື້ອຈຸລະຊີບໄດ້ແບບອັດຕະໂນມັດ."
Where is surveillance being done?,ການສຳຫລວດການນໍາໃຊ້ຢາຕ້ານເຊື້ອນີ້ໄດ້ເຮັດຢູ່ໂຮງໝໍໃດແດ່?
"PPS on hospital AMU was firstly conducted in Laos in 2017 in four general hospitals, including Mahosot Hospital, Luang Namtha, Xieng Khuang and Salavan provincial Hospitals. The survey has been conducted three times a year since then to capture the seasonality of the use of antimicrobials. In 2020, six general hospitals (Mahosot Hospital, Luxemburg Hospital, Luang Namtha, Xieng Khuang, Savannakhet and Salavan provincial hospitals) across Laos participated in this survey.","ການສຳຫລວດການນຳໃຊ້ຢາຕ້ານເຊື້ອໃນໂຮງໝໍ ໄດ້ຈັດຕັ້ງປະຕິບັດຂື້ນຄັ້ງທຳອິດໃນປີ 2017 ໃນ 4 ໂຮງໝໍໃນ ສ.ປ.ປ ລາວ (ໂຮງໝໍມະໂຫສົດ, ໂຮງໝໍແຂວງຫຼວງນໍ້າທາ, ໂຮງໝໍແຂວງຊຽງຂວາງ ແລະ ໂຮງໝໍແຂວງສາລະວັນ). ການສຳຫລວດແມ່ນໄດ້ເຮັດ 3 ຄັ້ງຕໍ່ປີ, ເພື່ອລວບລວມເອົາຂໍ້ມູນການນຳໃຊ້ຢາຕ້ານເຊື້ອໃນແຕ່ລະລະດູການ. ໃນປີ 2020, ມີ 6 ໂຮງໝໍທົ່ວປະເທດທີ່ເຂົ້າຮ່ວມການສໍາຫລວດດັ່ງກ່າວ (ໂຮງໝໍມະໂຫສົດ, ໂຮງໝໍແຂວງວຽງຈັນ, ໂຮງໝໍແຂວງ ຫລວງນໍ້າທາ, ໂຮງໝໍແຂວງຊຽງຂວາງ, ໂຮງໝໍແຂວງສະຫວັນນະເຂດ ແລະ ໂຮງໝໍແຂວງສາລະວັນ)."
